CODUG,SIGLA,CMA,CIDADE/ESTADO
160369,3º GAAAe,CMS,Caxias do Sul/RS
160371,29º GAC AP,CMS,Cruz Alta/RS
160372,Cmdo AD/3,CMS,Cruz Alta/RS
160374,AGGC,CMS,General Câmara/RS
160375,27º GAC,CMS,Ijuí/RS
160376,1º RC Mec,CMS,Itaquí/RS
160377,8º Esqd C Mec,CMS,Porto Alegre/RS
160378,16º Esqd C Mec,CMS,Francisco Beltrão/PR
160379,9º BI Mtz,CMS,Pelotas/RS
160380,Cmdo 8ª Bda Inf Mtz,CMS,Pelotas/RS
160382,1º CGEO,CMS,Porto Alegre/RS
160383,12º RC Mec,CMS,Jaguarão/RS
160384,18º BI Mtz,CMS,Sapucaia do Sul/RS
160385,3º B Com,CMS,Porto Alegre/RS
160386,3º BPE,CMS,Porto Alegre/RS
160387,3ª ICFEx,CMS,Porto Alegre/RS
160388,3º RCGd,CMS,Porto Alegre/RS
160389,8º B Log,CMS,Porto Alegre/RS
160391,CPOR / PA,CMS,Porto Alegre/RS
160392,Cmdo 3ª RM,CMS,Porto Alegre/RS
160393,CMPA,CMS,Porto Alegre/RS
